CustomerID,CustomerName,Region,SignupDate,TransactionID,ProductID,TransactionDate,Quantity,TotalValue,Price_x,ProductName,Category,Price_y
C0001,Lawrence Carroll,South America,2022-07-10,T00015,P054,2024-01-19 3:12:55,2.0,114.6,57.3,SoundWave Cookbook,Books,57.3
C0001,Lawrence Carroll,South America,2022-07-10,T00932,P022,2024-09-17 9:01:18,3.0,412.62,137.54,HomeSense Wall Art,Home Decor,137.54
C0001,Lawrence Carroll,South America,2022-07-10,T00085,P096,2024-04-08 0:01:00,2.0,614.94,307.47,SoundWave Headphones,Electronics,307.47
C0001,Lawrence Carroll,South America,2022-07-10,T00445,P083,2024-05-07 3:11:44,2.0,911.44,455.72,ActiveWear Smartwatch,Electronics,455.72
C0001,Lawrence Carroll,South America,2022-07-10,T00436,P029,2024-11-02 17:04:16,3.0,1300.92,433.64,TechPro Headphones,Electronics,433.64
C0002,Elizabeth Lutz,Asia,2022-02-13,T00155,P095,2024-07-12 10:18:13,2.0,454.52,227.26,BookWorld Cookware Set,Home Decor,227.26
C0002,Elizabeth Lutz,Asia,2022-02-13,T00129,P004,2024-06-11 23:59:08,4.0,382.76,95.69,BookWorld Rug,Home Decor,95.69
C0002,Elizabeth Lutz,Asia,2022-02-13,T00148,P019,2024-02-28 7:44:21,2.0,770.74,385.37,ComfortLiving Sweater,Clothing,385.37
C0002,Elizabeth Lutz,Asia,2022-02-13,T00675,P071,2024-12-03 1:41:41,2.0,254.72,127.36,TechPro T-Shirt,Clothing,127.36
C0003,Michael Rivera,South America,2024-03-07,T00462,P025,2024-06-03 19:17:36,3.0,853.86,284.62,ActiveWear Cookware Set,Home Decor,284.62
C0003,Michael Rivera,South America,2024-03-07,T00143,P006,2024-06-16 5:24:04,3.0,363.96,121.32,ActiveWear Rug,Home Decor,121.32
C0003,Michael Rivera,South America,2024-03-07,T00812,P035,2024-02-18 2:50:37,4.0,122.36,30.59,ActiveWear T-Shirt,Clothing,30.59
C0003,Michael Rivera,South America,2024-03-07,T00648,P002,2024-08-24 18:54:04,4.0,1385.2,346.3,ActiveWear Smartwatch,Electronics,346.3
C0004,Kathleen Rodriguez,South America,2022-10-09,T00004,P049,2024-07-19 10:56:13,4.0,591.8,147.95,TechPro Textbook,Books,147.95
C0004,Kathleen Rodriguez,South America,2022-10-09,T00744,P053,2024-03-11 9:25:22,4.0,1099.76,274.94,TechPro Rug,Home Decor,274.94
C0004,Kathleen Rodriguez,South America,2022-10-09,T00251,P038,2024-08-03 6:21:11,3.0,441.66,147.22,TechPro Vase,Home Decor,147.22
C0004,Kathleen Rodriguez,South America,2022-10-09,T00456,P025,2024-12-12 3:38:36,2.0,569.24,284.62,ActiveWear Cookware Set,Home Decor,284.62
C0004,Kathleen Rodriguez,South America,2022-10-09,T00534,P097,2024-06-25 22:10:47,3.0,958.02,319.34,BookWorld Cookbook,Books,319.34
C0004,Kathleen Rodriguez,South America,2022-10-09,T00847,P024,2024-10-24 16:28:30,1.0,338.66,338.66,SoundWave Cookbook,Books,338.66
C0004,Kathleen Rodriguez,South America,2022-10-09,T01000,P008,2024-02-28 10:16:35,2.0,293.7,146.85,BookWorld Bluetooth Speaker,Electronics,146.85
C0004,Kathleen Rodriguez,South America,2022-10-09,T00379,P077,2024-12-23 14:13:52,4.0,1062.04,265.51,ActiveWear Smartwatch,Electronics,265.51
C0005,Laura Weber,Asia,2022-08-15,T00331,P025,2024-05-05 13:03:41,3.0,853.86,284.62,ActiveWear Cookware Set,Home Decor,284.62
C0005,Laura Weber,Asia,2022-08-15,T00348,P039,2024-03-15 4:08:59,2.0,861.18,430.59,TechPro Smartwatch,Electronics,430.59
C0005,Laura Weber,Asia,2022-08-15,T00789,P012,2024-11-04 0:30:22,2.0,319.2,159.6,ComfortLiving Headphones,Electronics,159.6
C0006,Brittany Palmer,South America,2024-01-07,T00019,P040,2024-06-05 1:19:28,2.0,306.38,153.19,SoundWave Mystery Book,Books,153.19
C0006,Brittany Palmer,South America,2024-01-07,T00024,P084,2024-06-13 10:35:07,3.0,1013.73,337.91,ActiveWear Wall Art,Home Decor,337.91
C0006,Brittany Palmer,South America,2024-01-07,T00813,P086,2024-10-07 4:07:35,3.0,1322.1,440.7,SoundWave Novel,Books,440.7
C0006,Brittany Palmer,South America,2024-01-07,T00259,P020,2024-01-25 9:29:44,4.0,1585.36,396.34,ActiveWear Jacket,Clothing,396.34
C0007,Paul Graves,Asia,2022-06-18,T00718,P050,2024-02-20 9:22:52,1.0,437.65,437.65,ActiveWear Smartwatch,Electronics,437.65
C0007,Paul Graves,Asia,2022-06-18,T00645,P096,2024-08-25 8:05:44,3.0,922.41,307.47,SoundWave Headphones,Electronics,307.47
C0007,Paul Graves,Asia,2022-06-18,T00211,P093,2024-03-29 14:35:12,4.0,1219.76,304.94,TechPro Vase,Home Decor,304.94
C0008,David Li,North America,2024-01-13,T00536,P067,2024-09-22 6:13:59,1.0,300.68,300.68,ComfortLiving Bluetooth Speaker,Electronics,300.68
C0008,David Li,North America,2024-01-13,T00644,P095,2024-06-13 9:13:19,1.0,227.26,227.26,BookWorld Cookware Set,Home Decor,227.26
C0008,David Li,North America,2024-01-13,T00863,P038,2024-11-08 20:46:29,1.0,147.22,147.22,TechPro Vase,Home Decor,147.22
C0008,David Li,North America,2024-01-13,T00425,P068,2024-08-01 14:20:03,1.0,447.23,447.23,TechPro Novel,Books,447.23
C0008,David Li,North America,2024-01-13,T00815,P031,2024-03-26 20:30:49,2.0,392.8,196.4,SoundWave Headphones,Electronics,196.4
C0008,David Li,North America,2024-01-13,T00101,P052,2024-09-16 22:10:13,4.0,1419.24,354.81,SoundWave Jacket,Clothing,354.81
C0008,David Li,North America,2024-01-13,T00329,P035,2024-12-17 4:05:00,4.0,122.36,30.59,ActiveWear T-Shirt,Clothing,30.59
C0008,David Li,North America,2024-01-13,T00860,P004,2024-08-22 3:25:32,2.0,191.38,95.69,BookWorld Rug,Home Decor,95.69
C0008,David Li,North America,2024-01-13,T00730,P094,2024-01-22 19:40:43,2.0,894.68,447.34,HomeSense Cookware Set,Home Decor,447.34
C0008,David Li,North America,2024-01-13,T00557,P026,2024-03-11 3:22:29,2.0,128.76,64.38,SoundWave Bluetooth Speaker,Electronics,64.38
C0009,Joy Clark,Europe,2023-08-14,T00452,P060,2024-03-16 17:26:03,1.0,155.65,155.65,HomeSense T-Shirt,Clothing,155.65
C0009,Joy Clark,Europe,2023-08-14,T00902,P050,2024-10-12 4:57:16,1.0,437.65,437.65,ActiveWear Smartwatch,Electronics,437.65
C0009,Joy Clark,Europe,2023-08-14,T00062,P059,2024-10-12 6:41:00,1.0,303.2,303.2,SoundWave Jeans,Clothing,303.2
C0010,Aaron Cox,Europe,2022-12-15,T00136,P049,2024-02-22 18:44:05,2.0,295.9,147.95,TechPro Textbook,Books,147.95
C0010,Aaron Cox,Europe,2022-12-15,T00517,P036,2024-11-16 18:14:23,3.0,1117.65,372.55,BookWorld Jacket,Clothing,372.55
C0010,Aaron Cox,Europe,2022-12-15,T00939,P081,2024-03-29 7:04:02,3.0,198.96,66.32,HomeSense Sweater,Clothing,66.32
C0010,Aaron Cox,Europe,2022-12-15,T00901,P014,2024-05-12 11:53:53,4.0,105.04,26.26,ActiveWear Jacket,Clothing,26.26
C0011,Bryan Mathews,South America,2022-12-12,T00604,P030,2024-08-10 15:04:27,1.0,277.86,277.86,ActiveWear Cookbook,Books,277.86
C0011,Bryan Mathews,South America,2022-12-12,T00341,P017,2024-12-26 3:09:48,2.0,939.54,469.77,ActiveWear Textbook,Books,469.77
C0011,Bryan Mathews,South America,2022-12-12,T00078,P089,2024-03-23 2:59:36,3.0,662.73,220.91,HomeSense Bluetooth Speaker,Electronics,220.91
C0011,Bryan Mathews,South America,2022-12-12,T00822,P055,2024-05-08 18:21:34,3.0,385.59,128.53,BookWorld Biography,Books,128.53
C0011,Bryan Mathews,South America,2022-12-12,T00769,P046,2024-02-06 14:46:43,4.0,1464.28,366.07,BookWorld Sweater,Clothing,366.07
C0012,Kevin May,South America,2024-08-07,T00158,P023,2024-05-30 3:34:49,2.0,909.06,454.53,ActiveWear Cookware Set,Home Decor,454.53
C0012,Kevin May,South America,2024-08-07,T00721,P023,2024-12-08 9:46:41,3.0,1363.59,454.53,ActiveWear Cookware Set,Home Decor,454.53
C0012,Kevin May,South America,2024-08-07,T00094,P041,2024-07-14 19:37:54,4.0,1825.12,456.28,ComfortLiving Smartphone,Electronics,456.28
C0012,Kevin May,South America,2024-08-07,T00023,P061,2024-06-18 10:55:39,4.0,627.84,156.96,HomeSense Desk Lamp,Home Decor,156.96
C0012,Kevin May,South America,2024-08-07,T00686,P003,2024-05-12 12:53:40,4.0,176.48,44.12,ComfortLiving Biography,Books,44.12
C0012,Kevin May,South America,2024-08-07,T00537,P074,2024-12-25 8:03:34,1.0,295.58,295.58,SoundWave Desk Lamp,Home Decor,295.58
C0012,Kevin May,South America,2024-08-07,T00353,P063,2024-10-22 21:55:48,1.0,33.59,33.59,TechPro Novel,Books,33.59
C0013,Lauren Buchanan,South America,2024-05-19,T00659,P036,2024-11-03 5:30:39,3.0,1117.65,372.55,BookWorld Jacket,Clothing,372.55
C0013,Lauren Buchanan,South America,2024-05-19,T00484,P042,2024-02-24 20:08:07,2.0,758.88,379.44,ActiveWear Headphones,Electronics,379.44
C0013,Lauren Buchanan,South America,2024-05-19,T00503,P017,2024-07-26 0:21:59,4.0,1879.08,469.77,ActiveWear Textbook,Books,469.77
C0013,Lauren Buchanan,South America,2024-05-19,T00599,P015,2024-08-15 20:46:42,1.0,158.93,158.93,HomeSense Headphones,Electronics,158.93
C0013,Lauren Buchanan,South America,2024-05-19,T00671,P064,2024-08-23 9:19:16,1.0,452.42,452.42,HomeSense Running Shoes,Clothing,452.42
C0013,Lauren Buchanan,South America,2024-05-19,T00627,P020,2024-05-06 23:15:01,4.0,1585.36,396.34,ActiveWear Jacket,Clothing,396.34
